,Match_number,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Team1_score,Team2,Team2_score,Winning_team,Winning_margin,year,Stadium,City
526,3rd match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Night,Gujarat Lions,Field,Kings XI Punjab,161,Gujarat Lions,162,Gujarat Lions,5 wickets ,2016,Punjab Cricket Association IS Bindra Stadium, Mohali
527,4th match,"M Chinnaswamy Stadium, Bangalore",Night,Sunrisers Hyderabad,Field,RCB,227,Sunrisers Hyderabad,182,Royal Challengers Bangalore,45 runs,2016,M Chinnaswamy Stadium, Bangalore
528,5th match,"Eden Gardens, Kolkata",Night,Mumbai Indians,Field,Kolkata Knight Riders,187,Mumbai Indians,188,Mumbai Indians,6 wickets ,2016,Eden Gardens, Kolkata
529,6th match,"Saurashtra Cricket Association Stadium, Rajkot",Night,Pune Warriors,Bat,Pune Warriors,163,Gujarat Lions,164,Gujarat Lions,7 wickets ,2016,Saurashtra Cricket Association Stadium, Rajkot
530,7th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Field,Kings XI Punjab,111,Delhi Daredevils,113,Delhi Daredevils,8 wickets ,2016,Feroz Shah Kotla, Delhi
531,8th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,142,Kolkata Knight Riders,146,Kolkata Knight Riders,8 wickets ,2016,Rajiv Gandhi International Stadium, Uppal
532,9th match,"Wankhede Stadium, Mumbai",Night,Gujarat Lions,Field,Mumbai Indians,143,Gujarat Lions,147,Gujarat Lions,3 wickets ,2016,Wankhede Stadium, Mumbai
533,10th match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Evening,Pune Warriors,Bat,Pune Warriors,152,Kings XI Punjab,153,Kings XI Punjab,6 wickets ,2016,Punjab Cricket Association IS Bindra Stadium, Mohali
534,11th match,"M Chinnaswamy Stadium, Bangalore",Night,Delhi Daredevils,Field,RCB,191,Delhi Daredevils,192,Delhi Daredevils,7 wickets ,2016,M Chinnaswamy Stadium, Bangalore
535,12th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Sunrisers Hyderabad,Field,Mumbai Indians,142,Sunrisers Hyderabad,145,Sunrisers Hyderabad,7 wickets ,2016,Rajiv Gandhi International Stadium, Uppal
536,13th match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Night,Kolkata Knight Riders,Field,Kings XI Punjab,138,Kolkata Knight Riders,141,Kolkata Knight Riders,6 wickets ,2016,Punjab Cricket Association IS Bindra Stadium, Mohali
537,14th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,RCB,170,Mumbai Indians,171,Mumbai Indians,6 wickets ,2016,Wankhede Stadium, Mumbai
538,15th match,"Saurashtra Cricket Association Stadium, Rajkot",Night,Sunrisers Hyderabad,Field,Gujarat Lions,135,Sunrisers Hyderabad,137,Sunrisers Hyderabad,10 wickets ,2016,Saurashtra Cricket Association Stadium, Rajkot
539,16th match,"Maharashtra Cricket Association Stadium, Pune",Night,Pune Warriors,Field,RCB,185,Pune Warriors,172,Royal Challengers Bangalore,13 runs,2016,Maharashtra Cricket Association Stadium, Pune
540,17th match,"Feroz Shah Kotla, Delhi",Evening,Mumbai Indians,Field,Delhi Daredevils,164,Mumbai Indians,154,Delhi Daredevils,10 runs,2016,Feroz Shah Kotla, Delhi
541,18th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Sunrisers Hyderabad,Field,Kings XI Punjab,143,Sunrisers Hyderabad,146,Sunrisers Hyderabad,5 wickets ,2016,Rajiv Gandhi International Stadium, Uppal
542,19th match,"Saurashtra Cricket Association Stadium, Rajkot",Evening,Royal Challengers Bangalore,Bat,RCB,180,Gujarat Lions,182,Gujarat Lions,6 wickets ,2016,Saurashtra Cricket Association Stadium, Rajkot
543,20th match,"Maharashtra Cricket Association Stadium, Pune",Night,Kolkata Knight Riders,Field,Pune Warriors,160,Kolkata Knight Riders,162,Kolkata Knight Riders,2 wickets ,2016,Maharashtra Cricket Association Stadium, Pune
544,21st match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Field,Mumbai Indians,189,Kings XI Punjab,164,Mumbai Indians,25 runs,2016,Punjab Cricket Association IS Bindra Stadium, Mohali
545,22nd match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Pune Warriors,Field,Sunrisers Hyderabad,118,Pune Warriors,94,Pune Warriors,34 runs ,2016,Rajiv Gandhi International Stadium, Uppal
546,23rd match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Field,Gujarat Lions,172,Delhi Daredevils,171,Gujarat Lions,1 run,2016,Feroz Shah Kotla, Delhi
547,24th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Kolkata Knight Riders,174,Mumbai Indians,178,Mumbai Indians,6 wickets ,2016,Wankhede Stadium, Mumbai
548,25th match,"Maharashtra Cricket Association Stadium, Pune",Night,Gujarat Lions,Field,Pune Warriors,195,Gujarat Lions,196,Gujarat Lions,3 wickets ,2016,Maharashtra Cricket Association Stadium, Pune
