,Match_number,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Team1_score,Team2,Team2_score,Winning_team,Winning_margin,year,Stadium,City
0,1st match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Kolkata Knight Riders,222,RCB,82,Kolkata Knight Riders,140 runs,2008,M Chinnaswamy Stadium, Bangalore
1,2nd match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Evening,Chennai Super Kings,Bat,Chennai Super Kings,240,Kings XI Punjab,207,Chennai Super Kings,33 runs,2008,Punjab Cricket Association Stadium, Mohali
2,3rd match,"Feroz Shah Kotla, Delhi",Night,Rajasthan Royals,Bat,Rajasthan Royals,129,Delhi Daredevils,132,Delhi Daredevils,9 wickets ,2008,Feroz Shah Kotla, Delhi
3,4th match,"Eden Gardens, Kolkata",Evening,Deccan Chargers,Bat,Deccan Chargers,110,Kolkata Knight Riders,112,Kolkata Knight Riders,5 wickets ,2008,Eden Gardens, Kolkata
4,5th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Bat,Mumbai Indians,165,RCB,166,Royal Challengers Bangalore,5 wickets ,2008,Wankhede Stadium, Mumbai
5,6th match,"Sawai Mansingh Stadium, Jaipur",Night,Kings XI Punjab,Bat,Kings XI Punjab,166,Rajasthan Royals,168,Rajasthan Royals,6 wickets ,2008,Sawai Mansingh Stadium, Jaipur
6,7th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Deccan Chargers,Bat,Deccan Chargers,142,Delhi Daredevils,143,Delhi Daredevils,9 wickets ,2008,Rajiv Gandhi International Stadium, Uppal
7,8th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Mumbai Indians,Field,Chennai Super Kings,208,Mumbai Indians,202,Chennai Super Kings,6 runs,2008,MA Chidambaram Stadium,Chennai
8,9th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Rajasthan Royals,Field,Deccan Chargers,214,Rajasthan Royals,217,Rajasthan Royals,3 wickets ,2008,Rajiv Gandhi International Stadium, Uppal
9,10th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Mumbai Indians,Field,Kings XI Punjab,182,Mumbai Indians,116,Kings XI Punjab,66 runs,2008,Punjab Cricket Association Stadium, Mohali
10,11th match,"MA Chidambaram Stadium,Chennai, Chennai",Evening,Kolkata Knight Riders,Bat,Kolkata Knight Riders,147,Chennai Super Kings,152,Chennai Super Kings,9 wickets ,2008,MA Chidambaram Stadium,Chennai
11,12th match,"M Chinnaswamy Stadium, Bangalore",Night,Rajasthan Royals,Field,RCB,135,Rajasthan Royals,138,Rajasthan Royals,7 wickets ,2008,M Chinnaswamy Stadium, Bangalore
12,13th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Evening,Delhi Daredevils,Bat,Delhi Daredevils,158,Kings XI Punjab,162,Kings XI Punjab,4 wickets ,2008,Punjab Cricket Association Stadium, Mohali
13,14th match,"Dr DY Patil Sports Academy, Mumbai",Night,Deccan Chargers,Field,Mumbai Indians,154,Deccan Chargers,155,Deccan Chargers,10 wickets ,2008,Dr DY Patil Sports Academy, Mumbai
14,15th match,"M Chinnaswamy Stadium, Bangalore",Night,Chennai Super Kings,Bat,Chennai Super Kings,178,RCB,165,Chennai Super Kings,13 runs,2008,M Chinnaswamy Stadium, Bangalore
15,16th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,137,Mumbai Indians,138,Mumbai Indians,7 wickets ,2008,Eden Gardens, Kolkata
16,17th match,"Feroz Shah Kotla, Delhi",Night,Royal Challengers Bangalore,Field,Delhi Daredevils,191,RCB,181,Delhi Daredevils,10 runs,2008,Feroz Shah Kotla, Delhi
17,18th match,"Sawai Mansingh Stadium, Jaipur",Evening,Rajasthan Royals,Bat,Rajasthan Royals,196,Kolkata Knight Riders,151,Rajasthan Royals,45 runs,2008,Sawai Mansingh Stadium, Jaipur
18,19th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Kings XI Punjab,Field,Deccan Chargers,164,Kings XI Punjab,167,Kings XI Punjab,7 wickets ,2008,Rajiv Gandhi International Stadium, Uppal
19,20th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Bat,Chennai Super Kings,169,Delhi Daredevils,172,Delhi Daredevils,8 wickets ,2008,MA Chidambaram Stadium,Chennai
20,21st match,"M Chinnaswamy Stadium, Bangalore",Evening,Deccan Chargers,Field,RCB,156,Deccan Chargers,153,Royal Challengers Bangalore,3 runs,2008,M Chinnaswamy Stadium, Bangalore
21,22nd match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Bat,Kings XI Punjab,178,Kolkata Knight Riders,169,Kings XI Punjab,9 runs,2008,Punjab Cricket Association Stadium, Mohali
22,23rd match,"Dr DY Patil Sports Academy, Mumbai",Evening,Delhi Daredevils,Field,Mumbai Indians,162,Delhi Daredevils,133,Mumbai Indians,29 runs,2008,Dr DY Patil Sports Academy, Mumbai
23,24th match,"Sawai Mansingh Stadium, Jaipur",Night,Chennai Super Kings,Bat,Chennai Super Kings,109,Rajasthan Royals,110,Rajasthan Royals,8 wickets ,2008,Sawai Mansingh Stadium, Jaipur
24,25th match,"M Chinnaswamy Stadium, Bangalore",Night,Kings XI Punjab,Field,RCB,126,Kings XI Punjab,127,Kings XI Punjab,6 wickets ,2008,M Chinnaswamy Stadium, Bangalore
25,26th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Deccan Chargers,Field,Chennai Super Kings,144,Deccan Chargers,148,Deccan Chargers,7 wickets ,2008,MA Chidambaram Stadium,Chennai
26,27th match,"Dr DY Patil Sports Academy, Mumbai",Night,Mumbai Indians,Field,Rajasthan Royals,103,Mumbai Indians,104,Mumbai Indians,7 wickets ,2008,Dr DY Patil Sports Academy, Mumbai
27,28th match,"Feroz Shah Kotla, Delhi",Evening,Chennai Super Kings,Field,Delhi Daredevils,187,Chennai Super Kings,188,Chennai Super Kings,4 wickets ,2008,Feroz Shah Kotla, Delhi
28,29th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,129,RCB,124,Kolkata Knight Riders,5 runs,2008,Eden Gardens, Kolkata
29,30th match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Field,Deccan Chargers,140,Rajasthan Royals,141,Rajasthan Royals,8 wickets ,2008,Sawai Mansingh Stadium, Jaipur
30,31st match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Kings XI Punjab,Field,Chennai Super Kings,181,Kings XI Punjab,163,Chennai Super Kings,18 runs,2008,MA Chidambaram Stadium,Chennai
31,32nd match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Kolkata Knight Riders,Bat,Kolkata Knight Riders,204,Deccan Chargers,181,Kolkata Knight Riders,23 runs,2008,Rajiv Gandhi International Stadium, Uppal
32,33rd match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Field,Delhi Daredevils,156,Rajasthan Royals,159,Rajasthan Royals,3 wickets ,2008,Sawai Mansingh Stadium, Jaipur
33,34th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Royal Challengers Bangalore,Bat,RCB,143,Kings XI Punjab,144,Kings XI Punjab,9 wickets ,2008,Punjab Cricket Association Stadium, Mohali
34,35th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,133,Delhi Daredevils,110,Kolkata Knight Riders,23 runs,2008,Eden Gardens, Kolkata
35,36th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Chennai Super Kings,156,Mumbai Indians,158,Mumbai Indians,9 wickets ,2008,Wankhede Stadium, Mumbai
36,37th match,"Feroz Shah Kotla, Delhi",Night,Deccan Chargers,Field,Delhi Daredevils,194,Deccan Chargers,182,Delhi Daredevils,12 runs,2008,Feroz Shah Kotla, Delhi
37,38th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Kolkata Knight Riders,67,Mumbai Indians,68,Mumbai Indians,8 wickets ,2008,Wankhede Stadium, Mumbai
38,39th match,"Sawai Mansingh Stadium, Jaipur",Evening,Royal Challengers Bangalore,Field,Rajasthan Royals,197,RCB,132,Rajasthan Royals,65 runs,2008,Sawai Mansingh Stadium, Jaipur
39,40th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Bat,Delhi Daredevils,118,Kings XI Punjab,94,Kings XI Punjab,6 runs ,2008,Feroz Shah Kotla, Delhi
40,41st match,"Eden Gardens, Kolkata",Evening,Kolkata Knight Riders,Bat,Kolkata Knight Riders,149,Chennai Super Kings,55,Chennai Super Kings,3 runs ,2008,Eden Gardens, Kolkata
41,42nd match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Deccan Chargers,Field,Mumbai Indians,178,Deccan Chargers,153,Mumbai Indians,25 runs,2008,Rajiv Gandhi International Stadium, Uppal
42,43rd match,"M Chinnaswamy Stadium, Bangalore",Night,Delhi Daredevils,Field,RCB,154,Delhi Daredevils,158,Delhi Daredevils,5 wickets ,2008,M Chinnaswamy Stadium, Bangalore
43,44th match,"Eden Gardens, Kolkata",Night,Rajasthan Royals,Field,Kolkata Knight Riders,147,Rajasthan Royals,150,Rajasthan Royals,6 wickets ,2008,Eden Gardens, Kolkata
44,45th match,"Wankhede Stadium, Mumbai",Evening,Mumbai Indians,Field,Kings XI Punjab,189,Mumbai Indians,188,Kings XI Punjab,1 run,2008,Wankhede Stadium, Mumbai
45,46th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Royal Challengers Bangalore,Bat,RCB,126,Chennai Super Kings,112,Royal Challengers Bangalore,14 runs,2008,MA Chidambaram Stadium,Chennai
46,47th match,"Feroz Shah Kotla, Delhi",Night,no toss,Match Cancelled,Delhi Daredevils,0,Kolkata Knight Riders,0,Match cancelled,Match cancelled,2008,Feroz Shah Kotla, Delhi
47,48th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Field,Deccan Chargers,175,Kings XI Punjab,178,Kings XI Punjab,6 wickets ,2008,Punjab Cricket Association Stadium, Mohali
48,49th match,"MA Chidambaram Stadium,Chennai, Chennai",Evening,Rajasthan Royals,Bat,Rajasthan Royals,211,Chennai Super Kings,201,Rajasthan Royals,10 runs,2008,MA Chidambaram Stadium,Chennai
49,50th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Field,Mumbai Indians,176,Delhi Daredevils,179,Delhi Daredevils,5 wickets ,2008,Feroz Shah Kotla, Delhi
50,51st match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Deccan Chargers,Bat,Deccan Chargers,165,RCB,171,Royal Challengers Bangalore,5 wickets ,2008,Rajiv Gandhi International Stadium, Uppal
51,52nd match,"Eden Gardens, Kolkata",Night,Kings XI Punjab,Bat,Kings XI Punjab,174,Kolkata Knight Riders,175,Kolkata Knight Riders,3 wickets ,2008,Eden Gardens, Kolkata
52,53rd match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Field,Mumbai Indians,145,Rajasthan Royals,146,Rajasthan Royals,5 wickets ,2008,Sawai Mansingh Stadium, Jaipur
53,54th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Deccan Chargers,Bat,Deccan Chargers,147,Chennai Super Kings,148,Chennai Super Kings,7 wickets ,2008,Rajiv Gandhi International Stadium, Uppal
54,55th match,"M Chinnaswamy Stadium, Bangalore",Evening,Mumbai Indians,Field,RCB,122,Mumbai Indians,126,Mumbai Indians,9 wickets ,2008,M Chinnaswamy Stadium, Bangalore
55,56th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Rajasthan Royals,Field,Kings XI Punjab,221,Rajasthan Royals,180,Kings XI Punjab,41 runs,2008,Punjab Cricket Association Stadium, Mohali
56,1st Semi-Final,"Wankhede Stadium, Mumbai",Night,Delhi Daredevils,Field,Rajasthan Royals,192,Delhi Daredevils,87,Rajasthan Royals,105 runs,2008,Wankhede Stadium, Mumbai
57,2nd Semi-Final,"Wankhede Stadium, Mumbai",Night,Kings XI Punjab,Bat,Kings XI Punjab,112,Chennai Super Kings,116,Chennai Super Kings,9 wickets ,2008,Wankhede Stadium, Mumbai
58,Final,"Dr DY Patil Sports Academy, Mumbai",Night,Rajasthan Royals,Field,Chennai Super Kings,163,Rajasthan Royals,164,Rajasthan Royals,3 wickets ,2008,Dr DY Patil Sports Academy, Mumbai
59,1st match,"Newlands, Cape Town", ,Chennai Super Kings,Field,Mumbai Indians,165,Chennai Super Kings,146,Mumbai Indians,19 runs,2009,Newlands, Cape Town
60,2nd match,"Newlands, Cape Town",Evening,Royal Challengers Bangalore,Bat,RCB,133,Rajasthan Royals,58,Royal Challengers Bangalore,75 runs,2009,Newlands, Cape Town
61,3rd match,"Newlands, Cape Town", ,Delhi Daredevils,Field,Kings XI Punjab,104,Delhi Daredevils,58,Delhi Daredevils,10 wickets ,2009,Newlands, Cape Town
62,4th match,"Newlands, Cape Town",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,101,Deccan Chargers,104,Deccan Chargers,8 wickets ,2009,Newlands, Cape Town
63,5th match,"St George's Park, Port Elizabeth",Evening,Chennai Super Kings,Bat,Chennai Super Kings,179,RCB,87,Chennai Super Kings,92 runs,2009,St George's Park, Port Elizabeth
64,6th match,"Kingsmead, Durban", ,Kolkata Knight Riders,Field,Kings XI Punjab,158,Kolkata Knight Riders,79,Kolkata Knight Riders,11 runs ,2009,Kingsmead, Durban
65,7th match,"Kingsmead, Durban",Evening,no toss,Match Cancelled,Mumbai Indians,0,Rajasthan Royals,0,Match cancelled,Match cancelled,2009,Kingsmead, Durban
66,8th match,"Newlands, Cape Town",Evening,Deccan Chargers,Bat,Deccan Chargers,184,RCB,160,Deccan Chargers,24 runs,2009,Newlands, Cape Town
67,9th match,"Kingsmead, Durban", ,Delhi Daredevils,Bat,Delhi Daredevils,189,Chennai Super Kings,180,Delhi Daredevils,9 runs,2009,Kingsmead, Durban
68,10th match,"Newlands, Cape Town",Evening,Kolkata Knight Riders,Field,Rajasthan Royals,150,Kolkata Knight Riders,150,Match tied ,Match tied ,2009,Newlands, Cape Town
69,11th match,"Kingsmead, Durban",Evening,Royal Challengers Bangalore,Bat,RCB,168,Kings XI Punjab,173,Kings XI Punjab,7 wickets ,2009,Kingsmead, Durban
70,12th match,"Kingsmead, Durban", ,Deccan Chargers,Bat,Deccan Chargers,168,Mumbai Indians,156,Deccan Chargers,12 runs,2009,Kingsmead, Durban
71,13th match,"Newlands, Cape Town",Evening,no toss,Match Cancelled,Chennai Super Kings,0,Kolkata Knight Riders,0,Match cancelled,Match cancelled,2009,Newlands, Cape Town
72,14th match,"St George's Park, Port Elizabeth", ,Royal Challengers Bangalore,Bat,RCB,149,Delhi Daredevils,150,Delhi Daredevils,6 wickets ,2009,St George's Park, Port Elizabeth
73,15th match,"Newlands, Cape Town",Evening,Kings XI Punjab,Bat,Kings XI Punjab,139,Rajasthan Royals,112,Kings XI Punjab,27 runs,2009,Newlands, Cape Town
74,16th match,"Kingsmead, Durban", ,Deccan Chargers,Field,Chennai Super Kings,165,Deccan Chargers,169,Deccan Chargers,6 wickets ,2009,Kingsmead, Durban
75,17th match,"St George's Park, Port Elizabeth",Evening,Mumbai Indians,Bat,Mumbai Indians,187,Kolkata Knight Riders,95,Mumbai Indians,92 runs,2009,St George's Park, Port Elizabeth
76,18th match,"SuperSport Park, Centurion",Evening,Delhi Daredevils,Bat,Delhi Daredevils,143,Rajasthan Royals,147,Rajasthan Royals,5 wickets ,2009,SuperSport Park, Centurion
77,19th match,"Kingsmead, Durban", ,Kolkata Knight Riders,Bat,Kolkata Knight Riders,139,RCB,143,Royal Challengers Bangalore,5 wickets ,2009,Kingsmead, Durban
78,20th match,"Kingsmead, Durban",Evening,Kings XI Punjab,Bat,Kings XI Punjab,119,Mumbai Indians,116,Kings XI Punjab,3 runs,2009,Kingsmead, Durban
79,21st match,"SuperSport Park, Centurion", ,Delhi Daredevils,Field,Deccan Chargers,148,Delhi Daredevils,150,Delhi Daredevils,6 wickets ,2009,SuperSport Park, Centurion
80,22nd match,"SuperSport Park, Centurion",Evening,Rajasthan Royals,Field,Chennai Super Kings,164,Rajasthan Royals,126,Chennai Super Kings,38 runs,2009,SuperSport Park, Centurion
81,23rd match,"Buffalo Park, East London", ,Mumbai Indians,Bat,Mumbai Indians,148,Kolkata Knight Riders,139,Mumbai Indians,9 runs,2009,Buffalo Park, East London
82,24th match,"Kingsmead, Durban",Evening,Royal Challengers Bangalore,Bat,RCB,145,Kings XI Punjab,137,Royal Challengers Bangalore,8 runs,2009,Kingsmead, Durban
83,25th match,"St George's Park, Port Elizabeth", ,Deccan Chargers,Bat,Deccan Chargers,141,Rajasthan Royals,142,Rajasthan Royals,3 wickets ,2009,St George's Park, Port Elizabeth
84,26th match,"New Wanderers Stadium, Johannesburg",Evening,Delhi Daredevils,Field,Chennai Super Kings,163,Delhi Daredevils,145,Chennai Super Kings,18 runs,2009,New Wanderers Stadium, Johannesburg
85,27th match,"St George's Park, Port Elizabeth", ,Kolkata Knight Riders,Bat,Kolkata Knight Riders,153,Kings XI Punjab,154,Kings XI Punjab,6 wickets ,2009,St George's Park, Port Elizabeth
86,28th match,"New Wanderers Stadium, Johannesburg",Evening,Mumbai Indians,Bat,Mumbai Indians,149,RCB,150,Royal Challengers Bangalore,9 wickets ,2009,New Wanderers Stadium, Johannesburg
87,29th match,"Buffalo Park, East London",Evening,Chennai Super Kings,Bat,Chennai Super Kings,178,Deccan Chargers,100,Chennai Super Kings,78 runs,2009,Buffalo Park, East London
88,30th match,"Kingsmead, Durban", ,Kings XI Punjab,Field,Rajasthan Royals,211,Kings XI Punjab,133,Rajasthan Royals,78 runs,2009,Kingsmead, Durban
89,31st match,"Kingsmead, Durban",Evening,Kolkata Knight Riders,Bat,Kolkata Knight Riders,154,Delhi Daredevils,157,Delhi Daredevils,9 wickets ,2009,Kingsmead, Durban
90,32nd match,"SuperSport Park, Centurion",Evening,Deccan Chargers,Bat,Deccan Chargers,145,Mumbai Indians,126,Deccan Chargers,19 runs,2009,SuperSport Park, Centurion
91,33rd match,"SuperSport Park, Centurion", ,Rajasthan Royals,Field,RCB,105,Rajasthan Royals,107,Rajasthan Royals,7 wickets ,2009,SuperSport Park, Centurion
92,34th match,"SuperSport Park, Centurion",Evening,Chennai Super Kings,Bat,Chennai Super Kings,185,Kings XI Punjab,174,Chennai Super Kings,12 runs ,2009,SuperSport Park, Centurion
93,35th match,"Buffalo Park, East London",Evening,Mumbai Indians,Bat,Mumbai Indians,116,Delhi Daredevils,118,Delhi Daredevils,7 wickets ,2009,Buffalo Park, East London
94,36th match,"De Beers Diamond Oval, Kimberley", ,Kings XI Punjab,Field,Deccan Chargers,168,Kings XI Punjab,169,Kings XI Punjab,3 wickets ,2009,De Beers Diamond Oval, Kimberley
95,37th match,"De Beers Diamond Oval, Kimberley",Evening,Rajasthan Royals,Bat,Rajasthan Royals,140,Chennai Super Kings,141,Chennai Super Kings,7 wickets ,2009,De Beers Diamond Oval, Kimberley
96,38th match,"St George's Park, Port Elizabeth", ,Mumbai Indians,Bat,Mumbai Indians,157,RCB,141,Mumbai Indians,16 runs,2009,St George's Park, Port Elizabeth
97,39th match,"New Wanderers Stadium, Johannesburg",Evening,Delhi Daredevils,Field,Kolkata Knight Riders,123,Delhi Daredevils,125,Delhi Daredevils,7 wickets ,2009,New Wanderers Stadium, Johannesburg
98,40th match,"De Beers Diamond Oval, Kimberley",Evening,Deccan Chargers,Bat,Deccan Chargers,166,Rajasthan Royals,113,Deccan Chargers,53 runs,2009,De Beers Diamond Oval, Kimberley
99,41st match,"SuperSport Park, Centurion", ,Royal Challengers Bangalore,Field,Kolkata Knight Riders,173,RCB,176,Royal Challengers Bangalore,6 wickets ,2009,SuperSport Park, Centurion
100,42nd match,"SuperSport Park, Centurion",Evening,Kings XI Punjab,Bat,Kings XI Punjab,119,Mumbai Indians,122,Mumbai Indians,8 wickets ,2009,SuperSport Park, Centurion
101,43rd match,"Kingsmead, Durban",Evening,Deccan Chargers,Field,Delhi Daredevils,173,Deccan Chargers,161,Delhi Daredevils,12 runs,2009,Kingsmead, Durban
102,44th match,"Kingsmead, Durban", ,Chennai Super Kings,Bat,Chennai Super Kings,129,RCB,132,Royal Challengers Bangalore,2 wickets ,2009,Kingsmead, Durban
103,45th match,"Kingsmead, Durban",Evening,Rajasthan Royals,Bat,Rajasthan Royals,145,Mumbai Indians,143,Rajasthan Royals,2 runs,2009,Kingsmead, Durban
104,46th match,"OUTsurance Oval, Bloemfontein",Evening,Kings XI Punjab,Field,Delhi Daredevils,120,Kings XI Punjab,123,Kings XI Punjab,6 wickets ,2009,OUTsurance Oval, Bloemfontein
105,47th match,"St George's Park, Port Elizabeth", ,Mumbai Indians,Bat,Mumbai Indians,147,Chennai Super Kings,151,Chennai Super Kings,7 wickets ,2009,St George's Park, Port Elizabeth
106,48th match,"New Wanderers Stadium, Johannesburg",Evening,Deccan Chargers,Field,Kolkata Knight Riders,160,Deccan Chargers,166,Deccan Chargers,6 wickets ,2009,New Wanderers Stadium, Johannesburg
107,49th match,"New Wanderers Stadium, Johannesburg", ,Deccan Chargers,Field,Kings XI Punjab,134,Deccan Chargers,133,Kings XI Punjab,1 run,2009,New Wanderers Stadium, Johannesburg
108,50th match,"OUTsurance Oval, Bloemfontein",Evening,Delhi Daredevils,Bat,Delhi Daredevils,150,Rajasthan Royals,136,Delhi Daredevils,14 runs,2009,OUTsurance Oval, Bloemfontein
109,51st match,"SuperSport Park, Centurion",Evening,Chennai Super Kings,Bat,Chennai Super Kings,188,Kolkata Knight Riders,189,Kolkata Knight Riders,7 wickets ,2009,SuperSport Park, Centurion
110,52nd match,"New Wanderers Stadium, Johannesburg",Evening,Delhi Daredevils,Bat,Delhi Daredevils,134,RCB,135,Royal Challengers Bangalore,7 wickets ,2009,New Wanderers Stadium, Johannesburg
111,53rd match,"Kingsmead, Durban", ,Kolkata Knight Riders,Field,Rajasthan Royals,101,Kolkata Knight Riders,102,Kolkata Knight Riders,4 wickets ,2009,Kingsmead, Durban
112,54th match,"Kingsmead, Durban",Evening,Chennai Super Kings,Bat,Chennai Super Kings,116,Kings XI Punjab,92,Chennai Super Kings,24 runs,2009,Kingsmead, Durban
113,55th match,"SuperSport Park, Centurion", ,Delhi Daredevils,Field,Mumbai Indians,165,Delhi Daredevils,166,Delhi Daredevils,4 wickets ,2009,SuperSport Park, Centurion
114,56th match,"SuperSport Park, Centurion",Evening,Royal Challengers Bangalore,Bat,RCB,170,Deccan Chargers,158,Royal Challengers Bangalore,12 runs,2009,SuperSport Park, Centurion
115,1st Semi-Final,"SuperSport Park, Centurion",Evening,Deccan Chargers,Field,Delhi Daredevils,153,Deccan Chargers,154,Deccan Chargers,6 wickets ,2009,SuperSport Park, Centurion
116,2nd Semi-Final,"New Wanderers Stadium, Johannesburg",Evening,Royal Challengers Bangalore,Field,Chennai Super Kings,146,RCB,149,Royal Challengers Bangalore,6 wickets ,2009,New Wanderers Stadium, Johannesburg
117,Final,"New Wanderers Stadium, Johannesburg",Evening,Royal Challengers Bangalore,Field,Deccan Chargers,143,RCB,137,Deccan Chargers,6 runs,2009,New Wanderers Stadium, Johannesburg
118,1st match,"Dr DY Patil Sports Academy, Mumbai",Night,Deccan Chargers,Field,Kolkata Knight Riders,161,Deccan Chargers,150,Kolkata Knight Riders,11 runs,2010,Dr DY Patil Sports Academy, Mumbai
119,2nd match,"Brabourne Stadium, Mumbai",Evening,Mumbai Indians,Bat,Mumbai Indians,212,Rajasthan Royals,208,Mumbai Indians,4 runs,2010,Brabourne Stadium, Mumbai
120,3rd match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Delhi Daredevils,Field,Kings XI Punjab,142,Delhi Daredevils,146,Delhi Daredevils,5 wickets ,2010,Punjab Cricket Association Stadium, Mohali
121,4th match,"Eden Gardens, Kolkata",Evening,Kolkata Knight Riders,Field,RCB,135,Kolkata Knight Riders,136,Kolkata Knight Riders,7 wickets ,2010,Eden Gardens, Kolkata
122,5th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Deccan Chargers,Bat,Deccan Chargers,190,Chennai Super Kings,159,Deccan Chargers,31 runs,2010,MA Chidambaram Stadium,Chennai
123,6th match,"Sardar Patel Stadium, Motera, Ahmedabad",Night,Delhi Daredevils,Field,Rajasthan Royals,141,Delhi Daredevils,142,Delhi Daredevils,6 wickets ,2010,Sardar Patel Stadium, Motera
124,7th match,"M Chinnaswamy Stadium, Bangalore",Evening,Kings XI Punjab,Bat,Kings XI Punjab,203,RCB,204,Royal Challengers Bangalore,8 wickets ,2010,M Chinnaswamy Stadium, Bangalore
125,8th match,"Eden Gardens, Kolkata",Night,Chennai Super Kings,Bat,Chennai Super Kings,164,Kolkata Knight Riders,109,Chennai Super Kings,55 runs,2010,Eden Gardens, Kolkata
126,9th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Field,Mumbai Indians,218,Delhi Daredevils,120,Mumbai Indians,98 runs,2010,Feroz Shah Kotla, Delhi
127,10th match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Rajasthan Royals,92,RCB,93,Royal Challengers Bangalore,10 wickets ,2010,M Chinnaswamy Stadium, Bangalore
128,11th match,"Feroz Shah Kotla, Delhi",Evening,Delhi Daredevils,Bat,Delhi Daredevils,185,Chennai Super Kings,190,Chennai Super Kings,5 wickets ,2010,Feroz Shah Kotla, Delhi
129,12th match,"Barabati Stadium, Cuttack",Night,Kings XI Punjab,Field,Deccan Chargers,170,Kings XI Punjab,164,Deccan Chargers,6 runs,2010,Barabati Stadium, Cuttack
130,13th match,"Sardar Patel Stadium, Motera, Ahmedabad",Evening,Rajasthan Royals,Bat,Rajasthan Royals,168,Kolkata Knight Riders,134,Rajasthan Royals,34 runs,2010,Sardar Patel Stadium, Motera
131,14th match,"Brabourne Stadium, Mumbai",Night,Mumbai Indians,Bat,Mumbai Indians,151,RCB,155,Royal Challengers Bangalore,7 wickets ,2010,Brabourne Stadium, Mumbai
132,15th match,"Barabati Stadium, Cuttack",Evening,Deccan Chargers,Bat,Deccan Chargers,171,Delhi Daredevils,161,Deccan Chargers,10 runs,2010,Barabati Stadium, Cuttack
133,16th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Field,Kings XI Punjab,136,Chennai Super Kings,136,Match tied ,Match tied ,2010,MA Chidambaram Stadium,Chennai
134,17th match,"Brabourne Stadium, Mumbai",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,155,Mumbai Indians,156,Mumbai Indians,7 wickets ,2010,Brabourne Stadium, Mumbai
135,18th match,"M Chinnaswamy Stadium, Bangalore",Night,Chennai Super Kings,Field,RCB,171,Chennai Super Kings,135,Royal Challengers Bangalore,36 runs,2010,M Chinnaswamy Stadium, Bangalore
136,19th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Field,Rajasthan Royals,183,Kings XI Punjab,152,Rajasthan Royals,31 runs,2010,Punjab Cricket Association Stadium, Mohali
137,20th match,"M Chinnaswamy Stadium, Bangalore",Evening,Royal Challengers Bangalore,Field,Delhi Daredevils,183,RCB,166,Delhi Daredevils,17 runs,2010,M Chinnaswamy Stadium, Bangalore
138,21st match,"Brabourne Stadium, Mumbai",Night,Mumbai Indians,Field,Chennai Super Kings,180,Mumbai Indians,181,Mumbai Indians,5 wickets ,2010,Brabourne Stadium, Mumbai
